number;time;date;hour;minutes;seconds;delay;currentTime;speedKmh;throttle;brake;clutch;gear;FLwheelSlip;FRwheelSlip;RLwheelSlip;RRwheelSlip
0;1749411664.0736012;2025-06-08;21;41;4;None;0:00:009;0.001929598511196673;1.0;0.0;1.0;1;0.06873782724142075;0.03205184265971184;0.06174151226878166;0.025052666664123535
1;1749411664.1796198;2025-06-08;21;41;4;0.1060185432434082;0:00:108;0.005100056994706392;1.0;0.0;1.0;1;0.06522633880376816;0.03490079939365387;0.05846834182739258;0.028155168518424034
2;1749411664.3151429;2025-06-08;21;41;4;0.13552308082580566;0:00:252;0.0029798478353768587;1.0;0.0;1.0;1;0.06793501228094101;0.03285225108265877;0.061518847942352295;0.02523582987487316
3;1749411664.4556675;2025-06-08;21;41;4;0.14052462577819824;0:00:384;0.003099642926827073;1.0;0.0;1.0;1;0.06807731837034225;0.03234275430440903;0.06146935001015663;0.025283165276050568
4;1749411664.5891907;2025-06-08;21;41;4;0.13352322578430176;0:00:513;2.8995227813720703;0.6499999761581421;0.0;1.0;2;0.04778050258755684;0.12924844026565552;7.478854179382324;7.477463245391846
5;1749411664.7297163;2025-06-08;21;41;4;0.14052557945251465;0:00:663;6.602660655975342;0.6499999761581421;0.0;1.0;2;0.015992317348718643;0.016867857426404953;89.87862396240234;90.5639877319336
6;1749411664.8707397;2025-06-08;21;41;4;0.1410233974456787;0:00:798;9.77099323272705;0.6499999761581421;0.0;1.0;2;0.048496633768081665;0.03710898384451866;56.71951675415039;57.23990249633789
7;1749411665.0112646;2025-06-08;21;41;5;0.14052486419677734;0:00:945;13.163352966308594;0.6499999761581421;0.0;1.0;2;0.05407817289233208;0.03839116171002388;35.86540603637695;36.23518371582031
8;1749411665.151789;2025-06-08;21;41;5;0.14052438735961914;0:01:089;16.59454345703125;0.6499999761581421;0.0;1.0;2;0.0540386438369751;0.03789437189698219;24.073257446289062;24.369449615478516
9;1749411665.2923138;2025-06-08;21;41;5;0.14052486419677734;0:01:218;20.15983772277832;0.6499999761581421;0.0;1.0;2;0.020076928660273552;0.10716947913169861;15.89218807220459;16.144351959228516
10;1749411665.422837;2025-06-08;21;41;5;0.1305232048034668;0:01:353;23.60711097717285;0.6499999761581421;0.0;1.0;2;0.12800732254981995;0.00827724952250719;10.490889549255371;9.805564880371094
11;1749411665.5633612;2025-06-08;21;41;5;0.14052414894104004;0:01:491;27.566970825195312;0.6499999761581421;0.0;1.0;2;0.09544619172811508;0.19079679250717163;4.533265113830566;4.570846080780029
12;1749411665.7038853;2025-06-08;21;41;5;0.14052414894104004;0:01:644;31.523290634155273;0.8900004625320435;0.0;1.0;2;0.08528418093919754;0.01909472420811653;0.2665567398071289;0.2378535121679306
13;1749411665.8444102;2025-06-08;21;41;5;0.14052486419677734;0:01:773;34.8348503112793;1.0;0.0;1.0;2;0.049420297145843506;0.048101238906383514;0.32847100496292114;0.32526183128356934
14;1749411665.979934;2025-06-08;21;41;5;0.13552379608154297;0:01:908;38.14435958862305;1.0;0.0;1.0;2;0.0533863864839077;0.04520430415868759;0.31183484196662903;0.31332358717918396
15;1749411666.1204581;2025-06-08;21;41;6;0.14052414894104004;0:02:061;41.646575927734375;1.0;0.0;1.0;2;0.010277356021106243;0.1033443957567215;0.3942091763019562;0.28137722611427307
16;1749411666.2609832;2025-06-08;21;41;6;0.14052510261535645;0:02:199;45.36952209472656;1.0;0.0;1.0;2;0.02950466424226761;0.07189161330461502;0.3402027189731598;0.3411220908164978
17;1749411666.401507;2025-06-08;21;41;6;0.14052367210388184;0:02:328;49.129695892333984;1.0;0.0;1.0;2;0.10482606291770935;0.017567722126841545;0.4529883861541748;0.37505045533180237
18;1749411666.5420318;2025-06-08;21;41;6;0.14052486419677734;0:02:472;53.196842193603516;1.0;0.0;1.0;2;0.04522398114204407;0.1433398276567459;0.38132244348526;0.32784411311149597
19;1749411666.6825564;2025-06-08;21;41;6;0.14052462577819824;0:02:607;57.1440544128418;1.0;0.0;1.0;2;0.05794084072113037;0.15282057225704193;0.47537514567375183;0.4552097022533417
20;1749411666.8230815;2025-06-08;21;41;6;0.14052510261535645;0:02:763;61.52096939086914;1.0;0.0;1.0;2;0.06430482864379883;0.03697841987013817;0.4095945954322815;0.3873688578605652
21;1749411666.9636052;2025-06-08;21;41;6;0.14052367210388184;0:02:889;65.75743103027344;1.0;0.0;1.0;2;0.05319644883275032;0.04684712365269661;0.4533429741859436;0.45221570134162903
22;1749411667.1041303;2025-06-08;21;41;7;0.14052510261535645;0:03:033;70.08997344970703;1.0;0.0;1.0;2;0.05228020250797272;0.04572088271379471;0.3942665457725525;0.39632776379585266
23;1749411667.244655;2025-06-08;21;41;7;0.14052462577819824;0:03:171;74.29060363769531;1.0;0.0;1.0;2;0.051565948873758316;0.04739367589354515;0.4128059446811676;0.41402506828308105
24;1749411667.3801782;2025-06-08;21;41;7;0.13552331924438477;0:03:303;78.21525573730469;1.0;0.0;1.0;2;0.05117696896195412;0.04586312174797058;0.38929247856140137;0.3863446116447449
25;1749411667.5207024;2025-06-08;21;41;7;0.14052414894104004;0:03:453;82.20415496826172;1.0;0.0;1.0;2;0.05034349486231804;0.04764985665678978;0.35604703426361084;0.3550451993942261
26;1749411667.6612275;2025-06-08;21;41;7;0.14052510261535645;0:03:594;84.16061401367188;1.0;0.0;1.0;1;0.04600739851593971;0.044219013303518295;0.04368831589818001;0.043732792139053345
27;1749411667.8017516;2025-06-08;21;41;7;0.14052414894104004;0:03:726;85.42386627197266;0.8559997081756592;0.0;1.0;3;0.052649594843387604;0.04074276238679886;0.7014296650886536;0.6991572976112366
28;1749411667.942276;2025-06-08;21;41;7;0.14052438735961914;0:03:873;88.99263763427734;1.0;0.0;1.0;3;0.048747338354587555;0.04892313852906227;0.2764774560928345;0.27468177676200867
29;1749411668.082801;2025-06-08;21;41;8;0.14052510261535645;0:04:023;92.28240966796875;1.0;0.0;1.0;3;0.04740123823285103;0.0471961535513401;0.31867119669914246;0.31526055932044983
30;1749411668.223325;2025-06-08;21;41;8;0.14052391052246094;0:04:155;95.60286712646484;1.0;0.0;1.0;3;0.04722660407423973;0.04619867727160454;0.2842444181442261;0.2812453508377075
31;1749411668.3638496;2025-06-08;21;41;8;0.14052462577819824;0:04:302;98.8741455078125;1.0;0.0;1.0;3;0.046774450689554214;0.047605957835912704;0.2982599139213562;0.3003917336463928
32;1749411668.499373;2025-06-08;21;41;8;0.13552331924438477;0:04:434;102.0123062133789;1.0;0.0;1.0;3;0.04789759963750839;0.0461554192006588;0.2725433111190796;0.2721366584300995
